10 10000
0 2 838767
1 5 944655
3 4 607834
1 8 414016
4 4 132740
8 9 886973
1 3 688849
1 6 120191
4 6 885902
5 8 857715
4 7 786866
8 7 831788
2 3 486380
4 3 437452
1 3 102054
5 5 45380
2 6 531064
1 7 923521
7 1 264089
1 1 397980
1 3 839587
8 5 768894
1 7 717414
5 9 57273
1 6 730345
8 2 436619
3 2 941528
6 6 880721
0 0 673577
9 2 680219
3 1 948499
5 9 799400
7 8 361109
8 7 466172
6 0 783834
5 3 821841
9 2 996751
4 5 543459
6 9 330993
0 8 137928
2 4 855004
9 9 333595
3 8 424299
8 6 173106
9 5 327865
2 6 73555
4 4 280583
3 3 791161
3 2 555156
1 5 492682
9 6 308348
5 5 151119
3 4 300381
4 2 889055
5 9 108764
3 7 856005
0 6 580419
9 7 987521
5 4 464733
8 1 743951
5 2 601475
7 5 814392
7 7 728251
5 1 197279
5 9 513186
9 8 841495
5 6 467905
9 1 755363
8 3 625924
5 9 935111
3 3 165232
7 8 168294
0 4 734556
7 9 930552
7 6 603711
1 5 62279
3 5 992971
0 8 856430
4 1 529416
6 9 144417
3 2 228110
6 2 377518
0 5 380428
0 6 116735
5 0 74071
6 7 713228
2 5 9877
4 0 443394
1 4 408902
4 5 512155
0 9 789122
8 5 200923
1 7 995448
4 0 347960
3 5 40553
0 1 227238
6 9 904388
2 9 223867
9 2 758493
8 2 765106
3 7 370126
0 6 371267
0 7 320279
9 1 465811
5 2 850364
0 9 782053
4 4 357305
9 8 623720
7 5 499662
0 7 634233
9 9 238070
8 5 718199
4 6 66258
0 2 789322
9 1 864534
6 8 875498
3 8 346685
0 1 394720
2 7 811742
1 3 79150
4 2 123421
9 9 381427
8 2 362965
6 6 612016
0 6 993587
1 8 736566
9 2 927081
0 5 223419
3 3 218534
6 0 396101
5 1 696056
7 8 21369
3 1 633754
1 6 663221
1 7 61172
6 9 432652
4 3 393767
4 9 548159
0 8 401894
6 7 903120
0 2 274541
3 3 110161
9 3 48860
9 7 704121
0 7 33484
8 4 45753
8 2 366182
9 7 186508
9 0 420474
8 2 517687
6 8 13826
7 3 731588
6 0 627958
5 5 892710
1 9 65632
6 4 722698
1 3 6241
0 5 720206
8 5 702024
4 6 425112
8 9 574260
9 9 385937
4 1 483040
8 7 591028
7 6 245587
8 5 603960
3 6 877522
9 2 40973
5 2 400264
1 4 602914
0 4 168914
8 4 525564
8 1 225941
5 2 921552
3 8 755846
8 2 942561
6 4 237481
8 9 353944
6 5 908103
4 9 45216
4 3 69819
4 1 312173
3 6 900557
7 8 686847
1 8 114107
7 1 952847
4 2 186864
4 8 950438
0 1 359469
5 3 949148
1 4 576081
1 8 565179
3 1 928921
1 1 138042
7 6 347615
1 9 390176
4 7 41702
6 8 352232
2 4 963389
5 1 95442
8 1 496269
0 9 424681
5 1 875785
5 9 946855
3 8 460337
0 4 57044
7 3 156481
2 5 495724
3 6 216851
5 7 903235
2 3 153735
4 0 350050
9 6 592107
0 8 640926
9 1 581899
3 7 709148
9 9 536986
0 9 60491
7 2 772688
4 1 66879
3 9 70660
2 1 240508
2 8 950928
7 8 992286
3 4 653379
5 7 370013
9 8 47745
0 4 129272
6 0 272446
2 6 135713
5 2 281538
2 3 823063
1 8 90401
7 6 735025
5 8 34519
4 7 810958
3 4 260013
3 9 353592
7 3 284567
8 7 916311
5 3 528183
9 3 114389
0 4 596336
0 0 886863
7 6 779062
3 3 146982
8 2 165641
1 8 559320
3 3 762878
1 4 715126
7 1 825102
0 9 925906
8 5 301906
8 3 396619
6 6 570001
5 0 781374
2 2 339613
3 6 34070
7 9 568084
5 6 417784
7 9 509896
6 5 956608
0 3 379051
5 3 499415
5 3 751151
9 6 611605
8 9 616135
8 8 449708
1 6 449335
0 6 847896
9 0 112278
3 7 797020
5 3 374914
7 6 329259
5 1 70031
4 1 889378
2 5 681162
9 9 500066
4 1 712018
2 8 195181
8 4 679507
0 5 445547
7 9 868404
8 7 783194
6 4 429186
7 6 686755
2 3 823393
0 7 541463
5 5 589907
6 8 479104
8 8 620706
5 1 344989
6 2 928432
9 9 779871
8 0 656518
3 6 656912
1 2 258021
9 3 643954
5 7 456102
3 3 652157
4 5 407800
2 5 756752
4 5 51722
5 0 335800
1 4 503454
6 4 526113
5 1 481199
0 5 531928
4 0 194384
8 4 25772
7 8 869106
5 7 748440
0 5 232772
0 3 428551
2 4 401999
3 8 465428
9 7 789312
0 1 825250
0 8 556235
2 5 597221
8 8 391697
8 3 636665
4 1 560696
4 1 318370
0 8 118497
7 2 364124
1 6 741407
0 2 427580
7 6 577390
9 3 383396
7 2 930048
9 0 412670
1 1 373599
3 4 730045
5 6 507325
9 5 730982
1 5 206521
6 4 991762
9 2 894494
2 0 834668
2 6 440055
2 7 433570
2 4 676086
9 6 634389
7 8 975167
4 4 79910
5 8 301611
1 0 843579
6 6 944569
2 8 645667
8 9 834971
2 3 900580
7 3 957635
6 2 423642
3 8 850850
2 8 312772
8 1 855239
5 5 836818
8 5 60289
9 9 115033
6 7 642678
6 2 384903
3 3 870497
0 8 465002
1 6 8405
4 8 798073
6 9 96957
2 6 173924
4 2 561021
6 0 535707
2 6 453670
0 7 533786
4 1 614185
9 7 705567
2 6 727145
1 6 667040
8 5 89711
7 6 817315
5 1 427091
9 0 508683
9 2 755929
4 1 820418
0 1 380637
1 9 348815
8 0 765781
3 2 685250
2 7 392172
6 7 246334
4 3 236816
5 9 461149
9 0 319031
9 2 155681
2 7 124649
9 0 92150
3 8 302932
4 7 827837
6 4 318089
6 3 140578
5 8 636437
8 5 508013
2 3 740439
7 6 824600
3 3 75284
9 0 495007
5 4 433682
8 0 789759
9 2 372439
9 2 12725
9 7 409216
4 9 410075
1 6 244053
1 6 718977
9 8 973963
1 0 211036
4 5 861918
8 4 250916
3 8 868787
9 3 936459
9 0 207265
2 8 94220
0 5 326629
8 4 852889
6 4 312656
8 9 890897
3 7 326131
5 9 183694
6 4 259366
6 8 169012
4 6 605733
5 1 902931
4 8 80210
5 1 197757
4 7 78132
4 6 415332
9 1 9908
8 0 961270
0 2 117471
9 6 68510
4 4 246988
7 4 312655
8 0 943774
9 1 722793
0 5 750203
5 6 713048
5 5 540219
9 4 296587
4 2 887913
4 1 298526
5 8 664841
5 3 996561
5 4 283854
3 8 769387
1 8 328756
7 4 683298
9 2 545045
7 2 891942
2 1 746751
5 0 925866
6 0 25699
7 4 632139
9 6 42197
6 0 899432
1 6 807166
8 6 669903
0 4 270527
2 2 170076
5 9 45393
6 5 860060
9 3 546235
6 3 115161
4 5 549205
4 6 676652
6 6 756405
5 4 758379
9 3 350098
7 4 130828
1 1 922647
3 4 200045
6 7 893387
5 7 587064
7 9 225027
6 7 971250
3 5 574975
5 9 2774
0 9 5673
8 4 250197
7 3 243732
3 6 866906
1 0 157627
6 8 823271
1 0 982935
4 3 416509
2 2 589126
8 4 945533
9 7 477095
3 6 258976
4 0 298531
4 8 402652
0 7 355641
5 8 526668
3 4 408019
7 6 291274
1 1 385725
8 1 198662
8 4 59505
7 1 62331
9 3 969189
5 6 415066
0 5 743240
3 8 825500
5 4 625614
5 7 755887
2 6 598797
3 8 709576
5 5 708352
0 8 376074
3 3 759983
7 6 404300
2 1 151832
1 3 185834
9 8 829714
1 3 439521
4 8 398542
1 7 15622
0 9 539491
9 3 11758
5 6 3353
0 4 459437
0 1 390734
1 7 628863
6 9 729782
9 1 905346
5 8 457043
4 0 566607
2 4 996688
3 4 506971
8 8 44990
0 2 360949
1 4 214402
6 0 255230
0 2 890685
1 6 626038
4 6 138176
5 2 596864
7 2 323027
1 0 59375
2 2 885148
4 1 288514
6 0 507507
5 4 23589
3 1 747757
3 0 635026
4 5 435632
2 7 417459
5 9 648147
0 0 561826
2 2 123161
9 4 424792
7 6 226974
3 0 36976
2 2 802922
9 2 342498
9 3 995925
4 1 133691
9 7 274726
2 7 630659
9 7 629082
5 7 221733
6 8 353480
7 8 691639
2 2 224947
1 4 560947
3 6 408863
5 6 351638
5 3 869996
8 3 200229
6 8 811073
7 4 532164
2 4 422497
1 7 788795
2 2 698016
6 1 195771
4 6 209376
0 9 593293
2 5 941633
2 2 604218
6 9 67251
9 8 764174
2 4 435668
5 1 537429
2 2 321476
6 9 322534
3 0 188453
3 0 780833
4 7 21538
3 3 252082
3 0 823800
5 1 325058
4 4 61608
5 0 512609
9 6 989755
2 2 538202
5 7 53317
2 4 412469
4 8 386717
0 7 591256
7 1 584159
1 6 346843
1 1 912707
6 7 315555
6 0 34457
4 9 79408
2 0 480163
4 4 79594
0 7 322300
1 6 986457
0 6 623986
8 4 55634
6 8 200570
9 3 181318
8 2 595519
1 2 863939
0 2 670166
3 6 71115
0 9 170474
0 9 617687
3 2 97704
5 3 132836
0 6 242998
3 6 851176
5 4 6533
0 4 981964
7 3 681027
2 2 203517
6 7 769220
1 6 540672
0 7 623968
6 0 745881
8 2 588195
2 7 143390
9 7 386758
8 5 760552
1 2 273105
7 9 598685
8 7 661223
1 9 408847
7 9 616269
6 6 794609
3 9 337133
8 3 531031
4 4 66932
7 3 342340
2 4 290119
6 6 716989
6 3 539552
0 6 634139
4 5 988645
0 9 358561
6 2 645300
9 9 181580
9 3 49292
2 3 749521
3 5 999549
